Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
19.43,291,car,Over-Speeding,106.5
19.47,5,car,Illegal Parking,10.8
19.5,5,car,Illegal Parking,10.8
19.5,260,car,Over-Speeding,99.57
19.53,5,car,Illegal Parking,5.4
19.63,283,truck,Over-Speeding,90.52
19.63,291,car,Over-Speeding,210.32
19.9,316,car,Over-Speeding,82.25
20.13,5,car,Over-Speeding,82.43
20.23,280,car,Over-Speeding,135.97
20.57,321,motorcycle,Over-Speeding,158.82
20.63,296,car,Over-Speeding,133.37
21.5,333,motorcycle,Over-Speeding,90.52
21.9,316,car,Over-Speeding,89.39
22.63,368,truck,Over-Speeding,181.44
23.07,368,car,Over-Speeding,179.75
23.23,368,car,Over-Speeding,82.43
23.8,301,car,Over-Speeding,85.38
24.0,379,car,Over-Speeding,191.38
24.13,5,car,Illegal Parking,0.0
24.17,5,car,Illegal Parking,0.0
24.2,5,car,Illegal Parking,0.0
24.23,5,car,Illegal Parking,0.0
24.27,5,car,Illegal Parking,0.0
24.3,5,car,Illegal Parking,0.0
24.33,5,car,Illegal Parking,5.4
24.37,5,car,Illegal Parking,0.0
24.4,5,car,Illegal Parking,0.0
24.43,5,car,Illegal Parking,0.0
24.47,5,car,Illegal Parking,0.0
24.5,5,car,Illegal Parking,0.0
24.53,5,car,Illegal Parking,0.0
24.57,5,car,Illegal Parking,0.0
24.6,5,car,Illegal Parking,0.0
24.6,401,motorcycle,Over-Speeding,129.82
24.63,5,car,Illegal Parking,0.0
24.67,5,car,Illegal Parking,5.4
24.7,5,car,Illegal Parking,0.0
24.73,5,car,Illegal Parking,0.0
24.77,9,car,Illegal Parking,0.0
24.77,5,car,Illegal Parking,0.0
24.8,9,car,Illegal Parking,5.4
24.8,5,car,Illegal Parking,0.0
24.83,9,car,Illegal Parking,0.0
24.83,5,car,Illegal Parking,0.0
24.87,9,car,Illegal Parking,0.0
24.87,5,car,Illegal Parking,5.4
24.9,9,car,Illegal Parking,0.0
24.9,5,car,Illegal Parking,0.0
24.93,9,car,Illegal Parking,5.4
24.93,5,car,Illegal Parking,5.4
24.97,9,car,Illegal Parking,0.0
24.97,5,car,Illegal Parking,0.0
25.0,9,car,Illegal Parking,0.0
25.0,5,car,Illegal Parking,0.0
25.03,9,car,Illegal Parking,7.64
25.03,5,car,Illegal Parking,0.0
25.07,9,car,Illegal Parking,5.4
25.07,5,car,Illegal Parking,0.0
25.1,9,car,Illegal Parking,0.0
25.1,5,car,Illegal Parking,5.4
25.1,401,motorcycle,Over-Speeding,215.19
25.13,9,car,Illegal Parking,0.0
25.13,5,car,Illegal Parking,5.4
